model,term,coef,std_err,z,p
F1_logit_step_x_hop,Intercept,0.5300000000000074,0.03296863837835034,16.075883811690712,3.7658398550537206e-58
F1_logit_step_x_hop,C(step)[T.1],-0.16333333333332756,0.014216317866716652,-11.489144718389053,1.495855467077249e-30
F1_logit_step_x_hop,C(step)[T.2],-0.21333333333332763,0.01421631786671665,-15.006229836263385,6.684046061765194e-51
F1_logit_step_x_hop,C(step)[T.3],-0.2333333333333275,0.01421631786671665,-16.413063883413106,1.5422237009315157e-60
F1_logit_step_x_hop,C(n_hop)[T.3],-0.004226804123711096,0.046983812737251,-0.08996298677054543,0.9283166277990899
F1_logit_step_x_hop,C(n_hop)[T.4],-0.1000000000000011,0.04662469552763718,-2.144786123927078,0.03196995115933287
F1_logit_step_x_hop,C(step)[T.1]:C(n_hop)[T.3],-0.027388316151207414,0.020259763500019765,-1.3518576439049101,0.17642085953911313
F1_logit_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],0.0037113402061809864,0.020259763500019762,0.18318773593666907,0.8546507168463073
F1_logit_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],0.0013745704467306877,0.02025976350001976,0.06784730960602513,0.9459071828804319
F1_logit_step_x_hop,C(step)[T.1]:C(n_hop)[T.4],0.010833333333328463,0.020104909534117706,0.5388401929859208,0.5899971274472655
F1_logit_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],0.040833333333328566,0.0201049095341177,2.031013035101455,0.042253672317754926
F1_logit_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],0.0516666666666618,0.020104909534117702,2.569853228087613,0.010174161020084935
F1_logit_step_x_hop,Group Var,0.8130143918455632,0.0694966252923554,11.698616852622836,1.2954781021508404e-31
