model,term,coef,std_err,z,p
BS_cons_LMM_step_x_hop,Intercept,0.8566114429633087,0.001233031954808266,694.7195809669913,0.0
BS_cons_LMM_step_x_hop,C(step)[T.2],0.07958564375834984,0.0013706588668000094,58.06378646508406,0.0
BS_cons_LMM_step_x_hop,C(step)[T.3],0.09607984428601814,0.0013706588668000094,70.09756155470666,0.0
BS_cons_LMM_step_x_hop,C(n_hop)[T.3],-0.0019718046839961563,0.0017572015501192192,-1.1221277854338207,0.26180811148095173
BS_cons_LMM_step_x_hop,C(n_hop)[T.4],-0.007868780791783934,0.001743770513329233,-4.512509376455013,6.4065101549443195e-06
BS_cons_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],0.002991047577888584,0.001953334523110681,1.5312520935355955,0.12570710050424358
BS_cons_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],0.0006544646749030289,0.0019533345231106804,0.3350499707857492,0.7375873912602852
BS_cons_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],0.01192168603343359,0.001938404358815486,6.1502575451897235,7.735722875390315e-10
BS_cons_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],0.008420397192265191,0.001938404358815486,4.343983830809533,1.3992181848682999e-05
BS_cons_LMM_step_x_hop,Group Var,0.051543901385439135,0.006634275356773421,7.769334043817485,7.88998411915068e-15
