model,term,coef,std_err,z,p
BSbase_on_logtokens,Intercept,0.6771855823380291,0.002052231095717845,329.97530529141403,0.0
BSbase_on_logtokens,C(step)[T.2],-0.0036109940959646583,0.0005162473534136861,-6.994697545831386,2.6583177688312124e-12
BSbase_on_logtokens,C(step)[T.3],-0.005183559181399428,0.0005192301953481242,-9.983162049972938,1.806172454614239e-23
BSbase_on_logtokens,log_ntokens,0.028677208763557373,0.000283706523139613,101.08054071581996,0.0
BSbase_on_logtokens,Group Var,0.6579801282063403,0.057202517424132425,11.502642852720912,1.279370430242776e-30
