model,term,coef,std_err,z,p
OFS_LMM_step_x_hop,Intercept,0.8751593844823851,0.007853181503314249,111.44010667689838,0.0
OFS_LMM_step_x_hop,C(step)[T.2.0],-0.01614794452136025,0.004361215804346736,-3.7026245078874385,0.00021338058204323982
OFS_LMM_step_x_hop,C(step)[T.3.0],-0.026496008749480097,0.004361215804346737,-6.075372083874422,1.237005535745134e-09
OFS_LMM_step_x_hop,C(n_hop)[T.3],-0.001796554889837476,0.011191618073789012,-0.16052682266249263,0.8724660941684215
OFS_LMM_step_x_hop,C(n_hop)[T.4],-0.03336344286922631,0.011106075789764535,-3.004071239994092,0.002663929404170581
OFS_LMM_step_x_hop,C(step)[T.2.0]:C(n_hop)[T.3],0.0034775603337027397,0.006215195917606493,0.5595254566073224,0.5758031627492334
OFS_LMM_step_x_hop,C(step)[T.3.0]:C(n_hop)[T.3],0.005935061770638824,0.006215195917606494,0.9549275436074184,0.3396143397125486
OFS_LMM_step_x_hop,C(step)[T.2.0]:C(n_hop)[T.4],0.0006340137092444432,0.0061676905389430785,0.10279596637367777,0.9181249066739239
OFS_LMM_step_x_hop,C(step)[T.3.0]:C(n_hop)[T.4],-0.002348038445752129,0.006167690538943079,-0.38069978234584034,0.7034260303890907
OFS_LMM_step_x_hop,Group Var,0.45707851871088945,0.04055398983516691,11.270864360540129,1.827667966826576e-29
