model,term,coef,std_err,z,p
BS_base_LMM_step_x_hop,Intercept,0.8566114429632787,0.00270961028327648,316.1382462453081,0.0
BS_base_LMM_step_x_hop,C(step)[T.2],-0.009686442315577116,0.0012379189926263485,-7.8247788209683415,5.0855021760821924e-15
BS_base_LMM_step_x_hop,C(step)[T.3],-0.013843359847862096,0.0012379189926263487,-11.182767152228799,4.9521368532705616e-29
BS_base_LMM_step_x_hop,C(n_hop)[T.3],-0.00197180468397001,0.003861482560468482,-0.5106341031178417,0.609607291304664
BS_base_LMM_step_x_hop,C(n_hop)[T.4],-0.007868780791758158,0.0038319676113552003,-2.0534570199499447,0.040028274078880294
BS_base_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],0.0015516771555341877,0.0017641660982770939,0.879552756993559,0.3791016412640972
BS_base_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],0.0012102253873307977,0.001764166098277094,0.6860042195078562,0.4927104476020825
BS_base_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],0.002268133064109461,0.001750681828491422,1.2955712609777479,0.19512323565748713
BS_base_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],0.0025906420250716797,0.0017506818284914224,1.479790321068254,0.13892921249357607
BS_base_LMM_step_x_hop,Group Var,0.7151722572008389,0.06213813997947852,11.509392740706893,1.1830852910014951e-30
