model,term,coef,std_err,z,p
F1_on_OFS_BS_LMM,Intercept,-0.35864491836031354,0.31944817948422505,-1.1227014000811486,0.26156433317828387
F1_on_OFS_BS_LMM,C(step)[T.2],0.0018626369363725396,0.022714883696334672,0.0820007252193459,0.9346461367580008
F1_on_OFS_BS_LMM,C(step)[T.3],0.007127411821481289,0.023398316892837633,0.3046121588199805,0.7606615584712997
F1_on_OFS_BS_LMM,factscore,0.050209716685215074,0.16479980289887186,0.30467097534106813,0.7606167575729644
F1_on_OFS_BS_LMM,bert_f1_baseline,0.7428421062405375,0.28992314426649435,2.5622035388720974,0.010401034324601752
F1_on_OFS_BS_LMM,Group Var,2.994691408475858,1.1575137049176036,2.5871757679871545,0.009676621704625889
