metric,instruction_type,step,mean,std,count
answer_f1,elaborate,0,0.3620506452524108,0.42483007000951856,891
answer_f1,elaborate,1,0.2093792754725252,0.3561228761257808,891
answer_f1,elaborate,2,0.18733206644157602,0.3373600431982603,891
answer_f1,elaborate,3,0.1698278178562838,0.3283102312838296,891
answer_f1,formality,0,0.3620506452524108,0.42483007000951856,891
answer_f1,formality,1,0.2326960093389604,0.37722600600503703,891
answer_f1,formality,2,0.2000051846009211,0.36161668185439017,891
answer_f1,formality,3,0.1855895102382847,0.3524024674693067,891
answer_f1,paraphrase,0,0.3620506452524108,0.42483007000951856,891
answer_f1,paraphrase,1,0.2126417040632919,0.3563230717697281,891
answer_f1,paraphrase,2,0.19289116573777293,0.3454755504348501,891
answer_f1,paraphrase,3,0.1840946855504917,0.33793590127471534,891
answer_f1,shorten,0,0.3620506452524108,0.42483007000951856,891
answer_f1,shorten,1,0.20660454104371326,0.35511954031424875,891
answer_f1,shorten,2,0.18180333633512827,0.3333848026945952,891
answer_f1,shorten,3,0.16780398792996426,0.3221936620081108,891
openfactscore,elaborate,1,0.8742960248427232,0.10948474465019242,891
openfactscore,elaborate,2,0.8573200088427314,0.10622887846301746,891
openfactscore,elaborate,3,0.8344270565153019,0.11247186692189459,891
openfactscore,formality,1,0.8791749406466379,0.09105085656452735,891
openfactscore,formality,2,0.8721218738125697,0.10162257416458238,891
openfactscore,formality,3,0.8669358153831618,0.10638115175073348,891
openfactscore,paraphrase,1,0.850002114805545,0.1437592956622602,891
openfactscore,paraphrase,2,0.8295962464671442,0.1586734213612237,891
openfactscore,paraphrase,3,0.8249349882912782,0.1636642816022673,891
openfactscore,shorten,1,0.8498835133755478,0.13532108782097715,891
openfactscore,shorten,2,0.8351236524328502,0.14349424851235695,891
openfactscore,shorten,3,0.8256659058521737,0.14760548251410993,891
