spec,n_obs,n_qid,c_total,c_prime_direct,c_prime_direct_ci_lo,c_prime_direct_ci_hi,a_treat_to_mediator,b_mediator_to_outcome,ab_indirect,ab_indirect_ci_lo,ab_indirect_ci_hi,prop_mediated,prop_mediated_ci_lo,prop_mediated_ci_hi
F1 ~ step (mediator=log_tokens),14256,297,-0.058048737877674735,-0.03004722499028361,-0.04282426192136522,-0.01725538248519304,-0.5848477444023975,0.04787829508687094,-0.02800151288738886,-0.03884058114616503,-0.01685350954160786,0.48237935760801626,0.30935867975088954,0.6603574808774204
OFS ~ step (mediator=log_tokens),10692,297,-0.012674103453576623,-0.005446508745110809,-0.007927574292077504,-0.0030408045955915,-0.1288875756487088,0.05607673720354412,-0.007227594708454557,-0.008742205790933275,-0.0055627711046389895,0.5702647713842777,0.425120942328544,0.7333809772561563
