model,term,coef,std_err,z,p
BS_cons_LMM_step_x_hop,Intercept,0.8891311724980638,0.004027110143578992,220.78640533727022,0.0
BS_cons_LMM_step_x_hop,C(step)[T.2],0.05555109381675968,0.005150123183400441,10.78636215844478,3.992834984264542e-27
BS_cons_LMM_step_x_hop,C(step)[T.3],0.06933873196443185,0.005150123183400441,13.46350941428356,2.5644112192818974e-41
BS_cons_LMM_step_x_hop,C(n_hop)[T.3],-0.00896233916282193,0.005695193782219676,-1.5736671139799037,0.11556442844731951
BS_cons_LMM_step_x_hop,C(n_hop)[T.4],-0.00044505596160537424,0.005695193782219676,-0.07814588557018612,0.9377120073608173
BS_cons_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],0.007163011034326659,0.007283374053857006,0.9834742773554782,0.32537406909425937
BS_cons_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],0.01499235530694007,0.007283374053857006,2.058435444352974,0.03954835223756671
BS_cons_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],-0.0030208786328656235,0.007283374053857008,-0.4147636261062106,0.6783149495697739
BS_cons_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],-0.0016951719919864252,0.007283374053857005,-0.23274542532780187,0.8159590933659189
BS_cons_LMM_step_x_hop,Group Var,0.018572848930563605,0.019140077125684204,0.9703643725468885,0.33186490079493225
