model,term,coef,std_err,z,p
OFS_LMM_step_x_hop,Intercept,0.9127050625544177,0.018806931586383697,48.530248454523026,0.0
OFS_LMM_step_x_hop,C(step)[T.2],-0.01094277791286856,0.010220600429577922,-1.0706590075863538,0.28432278088269514
OFS_LMM_step_x_hop,C(step)[T.3],-0.009980415005878332,0.010220600429577915,-0.9764998714748208,0.32881681155149667
OFS_LMM_step_x_hop,C(n_hop)[T.3],-0.006167599223642576,0.026597017716086763,-0.23189063110305808,0.8166229615106816
OFS_LMM_step_x_hop,C(n_hop)[T.4],-0.04554637171986242,0.026597017716086763,-1.7124616077656878,0.08681163396192763
OFS_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.3],0.007070290365581164,0.014454111743105383,0.48915426220872377,0.6247324877714397
OFS_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.3],-0.008813581740827744,0.014454111743105378,-0.6097629447919433,0.5420188512486623
OFS_LMM_step_x_hop,C(step)[T.2]:C(n_hop)[T.4],0.0009435156239256597,0.014454111743105383,0.06527662444395568,0.9479537536331497
OFS_LMM_step_x_hop,C(step)[T.3]:C(n_hop)[T.4],-0.015818595637814094,0.014454111743105378,-1.0944010893896388,0.2737791063701869
OFS_LMM_step_x_hop,Group Var,0.48099495254894353,0.2100944576070774,2.2894223770933992,0.022054823210408924
