metric,contrast,n_pairs,mean_elaborate,mean_other,mean_diff,wilcoxon_stat,p,p_holm
F1,elaborate vs shorten,15,0.3471770334928229,0.31521890735982877,0.0319581261329942,54.5,0.7537897118436848,1.0
F1,elaborate vs formality,15,0.3471770334928229,0.3381657848324515,0.009011248660371474,60.0,1.0,1.0
F1,elaborate vs paraphrase,15,0.3471770334928229,0.3498765432098765,-0.0026995097170535737,52.0,0.645811980077628,1.0
OFS,elaborate vs shorten,15,0.8416193972160582,0.8961899569077331,-0.05457055969167488,18.0,0.01507568359375,0.07537841796875
OFS,elaborate vs formality,15,0.8416193972160582,0.900333792941736,-0.05871439572567793,10.0,0.00262451171875,0.0157470703125
OFS,elaborate vs paraphrase,15,0.8416193972160582,0.9084416084961779,-0.06682221128011966,3.0,0.00030517578125,0.00244140625
BS_base,elaborate vs shorten,15,0.8882372851724977,0.8353643717589203,0.052872913413577596,0.0,6.103515625e-05,0.00054931640625
BS_base,elaborate vs formality,15,0.8882372851724977,0.9017320681501318,-0.013494782977633993,21.0,0.02557373046875,0.102294921875
BS_base,elaborate vs paraphrase,15,0.8882372851724977,0.8679499392156248,0.02028734595687302,7.0,0.00115966796875,0.00811767578125
