qid,group,instruction_type,run,step,bleurt_baseline,bleurt_consecutive,bleurt_answer
2hop__635544_110949,style,formality,0,1,0.18782731890678406,0.18782731890678406,0.9940446019172668
2hop__635544_110949,style,formality,0,2,0.3166300058364868,0.826531708240509,0.9940446019172668
2hop__635544_110949,style,formality,0,3,0.2120373249053955,0.8385915756225586,0.9940446019172668
2hop__635544_110949,style,formality,1,1,0.4892053008079529,0.4892053008079529,0.9940446019172668
2hop__635544_110949,style,formality,1,2,0.4639427661895752,0.6781228184700012,0.9940446019172668
2hop__635544_110949,style,formality,1,3,0.48015791177749634,0.7315807938575745,0.9940446019172668
2hop__635544_110949,style,formality,2,1,0.26948630809783936,0.26948630809783936,0.9940446019172668
2hop__635544_110949,style,formality,2,2,0.2845532298088074,0.8028040528297424,0.9940446019172668
2hop__635544_110949,style,formality,2,3,0.13301317393779755,0.799386203289032,0.9940446019172668
2hop__635544_110949,style,paraphrase,0,1,0.18702827394008636,0.18702827394008636,0.8805753588676453
2hop__635544_110949,style,paraphrase,0,2,0.21988822519779205,0.7862574458122253,0.8805753588676453
2hop__635544_110949,style,paraphrase,0,3,0.2852168679237366,0.817768931388855,0.8805753588676453
2hop__635544_110949,style,paraphrase,1,1,0.17837212979793549,0.17837212979793549,0.9940446019172668
2hop__635544_110949,style,paraphrase,1,2,0.22146987915039062,0.7726545929908752,0.9940446019172668
2hop__635544_110949,style,paraphrase,1,3,0.09500283002853394,0.783393919467926,0.8805753588676453
2hop__635544_110949,style,paraphrase,2,1,0.29517605900764465,0.29517605900764465,0.9940446019172668
2hop__635544_110949,style,paraphrase,2,2,0.20778235793113708,0.7885480523109436,0.8805753588676453
2hop__635544_110949,style,paraphrase,2,3,0.1864912062883377,0.8051487803459167,0.8805753588676453
2hop__635544_110949,content,shorten,0,1,0.28826552629470825,0.28826552629470825,0.8045873045921326
2hop__635544_110949,content,shorten,0,2,0.24314653873443604,0.6456862092018127,0.8045873045921326
2hop__635544_110949,content,shorten,0,3,0.2649282217025757,0.576129674911499,0.8045873045921326
2hop__635544_110949,content,shorten,1,1,0.28702598810195923,0.28702598810195923,0.9940446019172668
2hop__635544_110949,content,shorten,1,2,0.28432178497314453,0.7974734902381897,0.9940446019172668
2hop__635544_110949,content,shorten,1,3,0.30167317390441895,0.8243486285209656,0.8805753588676453
2hop__635544_110949,content,shorten,2,1,0.2858960032463074,0.2858960032463074,0.9940446019172668
2hop__635544_110949,content,shorten,2,2,0.1725458800792694,0.7554414868354797,0.20900535583496094
2hop__635544_110949,content,shorten,2,3,0.1570408195257187,0.828456699848175,0.248097226023674
2hop__635544_110949,content,elaborate,0,1,0.3049287497997284,0.3049287497997284,0.9940446019172668
