qid,group,instruction_type,run,step,bert_precision_baseline,bert_recall_baseline,bert_f1_baseline,bert_precision_consecutive,bert_recall_consecutive,bert_f1_consecutive
2hop__635544_110949,style,formality,0,1,0.8136960864067078,0.7815835475921631,0.7973166108131409,0.8136960864067078,0.7815835475921631,0.7973166108131409
2hop__635544_110949,style,formality,0,2,0.8128886222839355,0.7796932458877563,0.7959449887275696,0.9773331880569458,0.9756848812103271,0.976508378982544
2hop__635544_110949,style,formality,0,3,0.8104073405265808,0.777300238609314,0.7935086488723755,0.9809172749519348,0.9771114587783813,0.9790106415748596
2hop__635544_110949,style,formality,1,1,0.8687108755111694,0.859114408493042,0.8638859987258911,0.8687108755111694,0.859114408493042,0.8638859987258911
2hop__635544_110949,style,formality,1,2,0.8552364706993103,0.8569920063018799,0.8561133146286011,0.9067795276641846,0.9133473634719849,0.9100515842437744
2hop__635544_110949,style,formality,1,3,0.8542391657829285,0.8561458587646484,0.8551914691925049,0.9785174131393433,0.9784085750579834,0.9784629940986633
2hop__635544_110949,style,formality,2,1,0.8100950121879578,0.7791613340377808,0.7943271398544312,0.8100950121879578,0.7791613340377808,0.7943271398544312
2hop__635544_110949,style,formality,2,2,0.8090576529502869,0.7771338224411011,0.7927745580673218,0.9701077938079834,0.9693762063980103,0.9697418808937073
2hop__635544_110949,style,formality,2,3,0.8103396892547607,0.776547372341156,0.7930837273597717,0.9775609970092773,0.9752123355865479,0.9763852953910828
2hop__635544_110949,style,paraphrase,0,1,0.8057738542556763,0.7770323753356934,0.7911422252655029,0.8057738542556763,0.7770323753356934,0.7911422252655029
2hop__635544_110949,style,paraphrase,0,2,0.8103858232498169,0.7782258987426758,0.7939803004264832,0.9682556986808777,0.9586352109909058,0.9634214639663696
2hop__635544_110949,style,paraphrase,0,3,0.8147433400154114,0.7788478136062622,0.7963912487030029,0.9750025868415833,0.973862886428833,0.9744324684143066
2hop__635544_110949,style,paraphrase,1,1,0.8112855553627014,0.7780481576919556,0.7943192720413208,0.8112855553627014,0.7780481576919556,0.7943192720413208
2hop__635544_110949,style,paraphrase,1,2,0.8136439323425293,0.7779537439346313,0.7953987121582031,0.9695407152175903,0.9622612595558167,0.9658872485160828
2hop__635544_110949,style,paraphrase,1,3,0.8115155696868896,0.7783360481262207,0.7945796251296997,0.9689633250236511,0.9720375537872314,0.9704979658126831
2hop__635544_110949,style,paraphrase,2,1,0.812741756439209,0.7773910760879517,0.7946734428405762,0.812741756439209,0.7773910760879517,0.7946734428405762
2hop__635544_110949,style,paraphrase,2,2,0.8103406429290771,0.7787393927574158,0.794225811958313,0.9653721451759338,0.969578742980957,0.9674709439277649
2hop__635544_110949,style,paraphrase,2,3,0.8120319843292236,0.7768927216529846,0.7940738797187805,0.9731529951095581,0.9715747237205505,0.9723632335662842
2hop__635544_110949,content,shorten,0,1,0.8338161706924438,0.8322722911834717,0.8330435156822205,0.8338161706924438,0.8322722911834717,0.8330435156822205
2hop__635544_110949,content,shorten,0,2,0.832716166973114,0.8261807560920715,0.8294355869293213,0.9729896783828735,0.9656398296356201,0.9693008661270142
